key 	 Omega 	 dN 	 dS 
OGs_OG0003764_Gbi_Lko.aln	0.0081	0.0467	5.7746
OGs_OG0005249_Gbi_Lko.aln	0.1255	0.3313	2.6396
OGs_OG0008386_Gbi_Lko.aln	0.2303	0.5761	2.5014
OGs_OG0005046_Gbi_Lko.aln	0.0043	0.0157	3.6896
OGs_OG0006442_Gbi_Lko.aln	0.0505	0.1238	2.4538
OGs_OG0004749_Gbi_Lko.aln	0.0046	0.0167	3.6191
OGs_OG0003459_Gbi_Lko.aln	0.4119	1.3252	3.2176
OGs_OG0003252_Gbi_Lko.aln	0.0338	0.0163	0.4814
OGs_OG0005622_Gbi_Lko.aln	0.0811	0.2692	3.3187
OGs_OG0005419_Gbi_Lko.aln	0.0514	0.0863	1.6802
OGs_OG0003152_Gbi_Lko.aln	0.0865	0.3878	4.482
OGs_OG0005726_Gbi_Lko.aln	0.0186	0.0794	4.2695
OGs_OG0005701_Gbi_Lko.aln	0.0503	0.1125	2.2355
OGs_OG0005055_Gbi_Lko.aln	0.0327	0.0246	0.7502
OGs_OG0006571_Gbi_Lko.aln	0.0289	0.0529	1.833
OGs_OG0003994_Gbi_Lko.aln	0.0648	0.1012	1.5614
OGs_OG0003375_Gbi_Lko.aln	0.1721	0.6323	3.6746
OGs_OG0009371_Gbi_Lko.aln	0.1159	0.3397	2.9311
OGs_OG0007427_Gbi_Lko.aln	0.048	0.1781	3.7066
OGs_OG0003720_Gbi_Lko.aln	0.0166	0.0736	4.4227
OGs_OG0004916_Gbi_Lko.aln	0.0392	0.0519	1.3266
OGs_OG0002511_Gbi_Lko.aln	0.0424	0.0808	1.9073
OGs_OG0008867_Gbi_Lko.aln	0.0892	0.2013	2.2575
OGs_OG0001667_Gbi_Lko.aln	0.0277	0.133	4.7973
OGs_OG0003461_Gbi_Lko.aln	0.0099	0.0378	3.8361
OGs_OG0003020_Gbi_Lko.aln	0.0491	0.0999	2.0343
OGs_OG0007473_Gbi_Lko.aln	0.0204	0.0842	4.1375
OGs_OG0013497_Gbi_Lko.aln	0.1188	0.079	0.6651
OGs_OG0013418_Gbi_Lko.aln	0.3948	0.6143	1.5558
OGs_OG0002988_Gbi_Lko.aln	0.0183	0.0167	0.9154
OGs_OG0007898_Gbi_Lko.aln	0.1062	0.2453	2.3099
OGs_OG0004960_Gbi_Lko.aln	0.1	0.2358	2.3581
OGs_OG0013313_Gbi_Lko.aln	0.1044	0.3807	3.6453
OGs_OG0003157_Gbi_Lko.aln	0.003	0.0138	4.6559
OGs_OG0004377_Gbi_Lko.aln	0.0057	0.0229	4.0396
OGs_OG0004050_Gbi_Lko.aln	0.0254	0.1249	4.9128
OGs_OG0008789_Gbi_Lko.aln	0.0978	0.3471	3.55
OGs_OG0008522_Gbi_Lko.aln	0.0521	0.1849	3.5474
OGs_OG0013340_Gbi_Lko.aln	0.0093	0.0261	2.8004
OGs_OG0005762_Gbi_Lko.aln	0.0833	0.2997	3.5975
OGs_OG0011143_Gbi_Lko.aln	0.0889	0.3718	4.1816
OGs_OG0007377_Gbi_Lko.aln	0.0104	0.024	2.3076
OGs_OG0004742_Gbi_Lko.aln	0.0302	0.0536	1.7735
OGs_OG0000151_Gbi_Lko.aln	0.0905	0.3857	4.264
OGs_OG0003392_Gbi_Lko.aln	0.0339	0.1552	4.5768
OGs_OG0005876_Gbi_Lko.aln	0.044	0.1599	3.6364
OGs_OG0006328_Gbi_Lko.aln	0.0169	0.0834	4.9241
OGs_OG0003220_Gbi_Lko.aln	0.1246	0.1974	1.5842
OGs_OG0003790_Gbi_Lko.aln	0.1368	0.0942	0.6885
OGs_OG0005613_Gbi_Lko.aln	0.0953	0.2658	2.79
OGs_OG0010047_Gbi_Lko.aln	0.1077	0.2429	2.2556
OGs_OG0003313_Gbi_Lko.aln	0.0362	0.144	3.9753
OGs_OG0003277_Gbi_Lko.aln	0.0102	0.0491	4.8087
OGs_OG0008406_Gbi_Lko.aln	0.0498	0.1771	3.5553
OGs_OG0006146_Gbi_Lko.aln	0.1002	0.2685	2.6793
OGs_OG0011570_Gbi_Lko.aln	0.1301	0.1493	1.1481
OGs_OG0004704_Gbi_Lko.aln	0.1859	0.4136	2.2245
OGs_OG0001596_Gbi_Lko.aln	0.0166	0.0663	3.9949
OGs_OG0003757_Gbi_Lko.aln	0.0582	0.1252	2.1523
OGs_OG0004327_Gbi_Lko.aln	0.04	0.0987	2.4676
OGs_OG0007303_Gbi_Lko.aln	0.0496	0.1405	2.8344
OGs_OG0013420_Gbi_Lko.aln	0.1483	0.2106	1.42
OGs_OG0002770_Gbi_Lko.aln	0.0058	0.0222	3.8036
OGs_OG0013503_Gbi_Lko.aln	0.0622	0.1147	1.8446
OGs_OG0005019_Gbi_Lko.aln	0.004	0.008	1.9871
OGs_OG0005908_Gbi_Lko.aln	0.0776	0.2646	3.4115
OGs_OG0002180_Gbi_Lko.aln	0.0305	0.1512	4.9602
OGs_OG0007364_Gbi_Lko.aln	0.0457	0.184	4.03
OGs_OG0006708_Gbi_Lko.aln	0.0333	0.0714	2.1427
OGs_OG0005756_Gbi_Lko.aln	0.0604	0.0915	1.5154
OGs_OG0011521_Gbi_Lko.aln	0.1256	0.3042	2.4209
OGs_OG0006241_Gbi_Lko.aln	0.0129	0.0483	3.7562
OGs_OG0007329_Gbi_Lko.aln	0.0481	0.147	3.0536
OGs_OG0008436_Gbi_Lko.aln	0.2549	0.4677	1.8349
OGs_OG0005292_Gbi_Lko.aln	0.0076	0.0295	3.8668
OGs_OG0002410_Gbi_Lko.aln	0.0832	0.2475	2.9754
OGs_OG0003326_Gbi_Lko.aln	0.116	0.3886	3.3496
OGs_OG0008806_Gbi_Lko.aln	0.2652	0.4119	1.5531
OGs_OG0009749_Gbi_Lko.aln	0.1273	0.4441	3.4893
OGs_OG0010483_Gbi_Lko.aln	0.205	0.4626	2.256
OGs_OG0008612_Gbi_Lko.aln	0.1219	0.3149	2.5829
OGs_OG0009117_Gbi_Lko.aln	0.0347	0.1226	3.5308
OGs_OG0008599_Gbi_Lko.aln	0.0839	0.1266	1.5093
OGs_OG0001941_Gbi_Lko.aln	0.048	0.1753	3.6509
OGs_OG0009680_Gbi_Lko.aln	0.123	0.1167	0.9486
OGs_OG0004772_Gbi_Lko.aln	0.0024	0.2407	99.0
OGs_OG0001581_Gbi_Lko.aln	0.0748	0.3392	4.5352
OGs_OG0002858_Gbi_Lko.aln	0.0391	0.1202	3.0759
OGs_OG0008362_Gbi_Lko.aln	0.1921	0.6595	3.4336
OGs_OG0005884_Gbi_Lko.aln	0.0867	0.3089	3.5619
OGs_OG0002451_Gbi_Lko.aln	0.0531	0.0684	1.2885
OGs_OG0013668_Gbi_Lko.aln	0.181	0.5364	2.9636
OGs_OG0005554_Gbi_Lko.aln	0.0533	0.167	3.1328
OGs_OG0002766_Gbi_Lko.aln	0.0296	0.1114	3.7586
OGs_OG0002019_Gbi_Lko.aln	0.0772	0.3123	4.0433
OGs_OG0002011_Gbi_Lko.aln	0.0286	0.0763	2.6646
OGs_OG0006820_Gbi_Lko.aln	0.0366	0.1708	4.6691
OGs_OG0008714_Gbi_Lko.aln	0.183	0.3395	1.8552
OGs_OG0011488_Gbi_Lko.aln	0.0547	0.179	3.2716
OGs_OG0006832_Gbi_Lko.aln	0.0463	0.0309	0.6675
OGs_OG0005431_Gbi_Lko.aln	0.013	0.0469	3.5947
OGs_OG0003537_Gbi_Lko.aln	0.036	0.1693	4.7057
OGs_OG0004320_Gbi_Lko.aln	0.0521	0.1307	2.5087
OGs_OG0001345_Gbi_Lko.aln	0.2599	0.4339	1.6695
OGs_OG0009111_Gbi_Lko.aln	0.0488	0.1902	3.9001
OGs_OG0005240_Gbi_Lko.aln	0.0411	0.1575	3.8343
OGs_OG0005235_Gbi_Lko.aln	0.0538	0.2253	4.1909
OGs_OG0007567_Gbi_Lko.aln	0.0446	0.1657	3.7116
OGs_OG0011097_Gbi_Lko.aln	0.2116	0.3946	1.8647
OGs_OG0007763_Gbi_Lko.aln	0.1779	0.4041	2.2719
OGs_OG0004041_Gbi_Lko.aln	0.0389	0.1487	3.8247
OGs_OG0007865_Gbi_Lko.aln	0.0647	0.2359	3.6469
OGs_OG0002712_Gbi_Lko.aln	0.0122	0.0566	4.6593
OGs_OG0004080_Gbi_Lko.aln	0.0262	0.1205	4.5924
OGs_OG0003354_Gbi_Lko.aln	0.0892	0.208	2.3313
OGs_OG0003826_Gbi_Lko.aln	0.0753	0.1357	1.8015
OGs_OG0003780_Gbi_Lko.aln	0.0449	0.1753	3.9042
OGs_OG0007648_Gbi_Lko.aln	0.0155	0.0666	4.3102
OGs_OG0008862_Gbi_Lko.aln	0.051	0.2303	4.5135
OGs_OG0006140_Gbi_Lko.aln	0.0463	0.1693	3.6571
OGs_OG0002954_Gbi_Lko.aln	0.0699	0.2309	3.3028
OGs_OG0007308_Gbi_Lko.aln	0.012	0.0518	4.3071
OGs_OG0003110_Gbi_Lko.aln	0.0865	0.1097	1.2671
OGs_OG0005293_Gbi_Lko.aln	0.0543	0.2216	4.0771
OGs_OG0003648_Gbi_Lko.aln	0.0144	0.08	5.5554
OGs_OG0013628_Gbi_Lko.aln	0.0992	0.261	2.6316
OGs_OG0008054_Gbi_Lko.aln	0.1188	0.1202	1.0121
OGs_OG0005903_Gbi_Lko.aln	0.0076	0.0297	3.9283
OGs_OG0007879_Gbi_Lko.aln	0.1668	0.3425	2.0537
OGs_OG0005688_Gbi_Lko.aln	0.0315	0.1388	4.4027
OGs_OG0010006_Gbi_Lko.aln	0.1553	0.4092	2.6343
OGs_OG0001154_Gbi_Lko.aln	0.148	0.2729	1.8448
OGs_OG0008704_Gbi_Lko.aln	0.1419	0.2125	1.4977
OGs_OG0001711_Gbi_Lko.aln	0.1016	0.4473	4.4033
OGs_OG0008007_Gbi_Lko.aln	0.1036	0.1901	1.8345
OGs_OG0006487_Gbi_Lko.aln	0.0556	0.2259	4.0627
OGs_OG0005350_Gbi_Lko.aln	0.0095	0.0443	4.6843
OGs_OG0006722_Gbi_Lko.aln	0.0459	0.1861	4.0567
OGs_OG0013577_Gbi_Lko.aln	0.0803	0.3266	4.0696
OGs_OG0008398_Gbi_Lko.aln	0.2691	0.4656	1.73
OGs_OG0009624_Gbi_Lko.aln	0.1229	0.2304	1.8741
OGs_OG0001191_Gbi_Lko.aln	0.0448	0.1147	2.5578
OGs_OG0009395_Gbi_Lko.aln	0.1932	0.3467	1.7949
OGs_OG0003529_Gbi_Lko.aln	0.0513	0.2273	4.4325
OGs_OG0000077_Gbi_Lko.aln	0.084	0.3374	4.015
OGs_OG0002597_Gbi_Lko.aln	0.0745	0.3053	4.0959
OGs_OG0003008_Gbi_Lko.aln	0.0524	0.273	5.2108
OGs_OG0003600_Gbi_Lko.aln	0.0478	0.1767	3.6974
OGs_OG0010566_Gbi_Lko.aln	0.0102	0.0242	2.3687
OGs_OG0003728_Gbi_Lko.aln	0.0337	0.0615	1.8274
OGs_OG0007205_Gbi_Lko.aln	0.0174	0.0583	3.349
OGs_OG0004719_Gbi_Lko.aln	0.0666	0.2552	3.8305
OGs_OG0001446_Gbi_Lko.aln	0.0534	0.2004	3.7539
OGs_OG0002897_Gbi_Lko.aln	0.0446	0.0768	1.7203
OGs_OG0006240_Gbi_Lko.aln	0.0518	0.095	1.8344
OGs_OG0006593_Gbi_Lko.aln	0.0234	0.0536	2.2952
OGs_OG0006291_Gbi_Lko.aln	0.0844	0.4098	4.8573
OGs_OG0002219_Gbi_Lko.aln	0.1242	0.5126	4.1278
OGs_OG0004184_Gbi_Lko.aln	0.0261	0.1199	4.5853
OGs_OG0004978_Gbi_Lko.aln	0.0508	0.1998	3.9307
OGs_OG0004197_Gbi_Lko.aln	0.1035	0.1322	1.2771
OGs_OG0008080_Gbi_Lko.aln	0.027	0.0466	1.7291
OGs_OG0004399_Gbi_Lko.aln	0.0402	0.0573	1.426
OGs_OG0013674_Gbi_Lko.aln	0.4471	0.4055	0.9071
OGs_OG0002823_Gbi_Lko.aln	0.0162	0.0642	3.9621
OGs_OG0009007_Gbi_Lko.aln	0.0937	0.2694	2.8751
OGs_OG0009278_Gbi_Lko.aln	0.3051	1.1601	3.8025
OGs_OG0004950_Gbi_Lko.aln	0.0509	0.1414	2.778
OGs_OG0007085_Gbi_Lko.aln	0.0457	0.1478	3.2317
OGs_OG0009148_Gbi_Lko.aln	0.033	0.1257	3.8072
OGs_OG0004292_Gbi_Lko.aln	0.1302	0.2869	2.2038
OGs_OG0006489_Gbi_Lko.aln	0.0046	0.0139	2.9959
OGs_OG0005528_Gbi_Lko.aln	0.0655	0.1259	1.9232
OGs_OG0004849_Gbi_Lko.aln	0.0342	0.1379	4.0297
OGs_OG0005537_Gbi_Lko.aln	0.0573	0.1288	2.2491
OGs_OG0004233_Gbi_Lko.aln	0.0149	0.0667	4.4623
OGs_OG0003659_Gbi_Lko.aln	0.0276	0.0611	2.2107
OGs_OG0003716_Gbi_Lko.aln	0.0199	0.0915	4.5897
OGs_OG0005587_Gbi_Lko.aln	0.0521	0.2089	4.0085
OGs_OG0004416_Gbi_Lko.aln	0.0967	0.3949	4.0846
OGs_OG0003184_Gbi_Lko.aln	0.0724	0.3105	4.2887
OGs_OG0003982_Gbi_Lko.aln	0.0521	0.0867	1.6624
OGs_OG0002054_Gbi_Lko.aln	0.0822	0.4034	4.9049
OGs_OG0002812_Gbi_Lko.aln	0.0424	0.1797	4.2326
OGs_OG0006528_Gbi_Lko.aln	0.0192	0.088	4.5725
OGs_OG0000735_Gbi_Lko.aln	0.082	0.2937	3.5814
OGs_OG0006144_Gbi_Lko.aln	0.0676	0.1072	1.5863
OGs_OG0008339_Gbi_Lko.aln	0.0396	0.0702	1.7699
OGs_OG0013350_Gbi_Lko.aln	0.0227	0.0989	4.3588
OGs_OG0005421_Gbi_Lko.aln	0.0187	0.0542	2.8929
OGs_OG0002741_Gbi_Lko.aln	0.0228	0.1011	4.4391
OGs_OG0003545_Gbi_Lko.aln	0.0318	0.0751	2.3615
OGs_OG0003099_Gbi_Lko.aln	0.1159	0.0806	0.6955
OGs_OG0001493_Gbi_Lko.aln	0.026	0.1293	4.9817
OGs_OG0004845_Gbi_Lko.aln	0.0661	0.1955	2.9592
OGs_OG0013399_Gbi_Lko.aln	0.2742	0.6035	2.2008
OGs_OG0005949_Gbi_Lko.aln	0.0489	0.1016	2.0784
OGs_OG0008661_Gbi_Lko.aln	0.0233	0.1052	4.5107
OGs_OG0003148_Gbi_Lko.aln	0.1374	0.3642	2.6504
OGs_OG0005741_Gbi_Lko.aln	0.0163	0.079	4.848
OGs_OG0005423_Gbi_Lko.aln	0.0338	0.0505	1.4926
OGs_OG0003675_Gbi_Lko.aln	0.0393	0.0518	1.3183
OGs_OG0004773_Gbi_Lko.aln	0.0135	0.0645	4.7785
OGs_OG0006635_Gbi_Lko.aln	0.0137	0.051	3.7142
OGs_OG0004409_Gbi_Lko.aln	0.0463	0.2256	4.8713
OGs_OG0008592_Gbi_Lko.aln	0.0633	0.2576	4.0724
OGs_OG0003446_Gbi_Lko.aln	0.1423	0.1537	1.08
OGs_OG0001955_Gbi_Lko.aln	0.0099	0.0408	4.1348
OGs_OG0002908_Gbi_Lko.aln	0.0421	0.208	4.9439
OGs_OG0006710_Gbi_Lko.aln	0.1397	0.4509	3.2288
OGs_OG0001226_Gbi_Lko.aln	0.2313	0.5166	2.2334
OGs_OG0002281_Gbi_Lko.aln	0.0124	0.0398	3.2095
OGs_OG0009358_Gbi_Lko.aln	0.0504	0.1314	2.6075
OGs_OG0005316_Gbi_Lko.aln	0.0129	0.0584	4.542
OGs_OG0008537_Gbi_Lko.aln	0.0476	0.0973	2.0437
OGs_OG0004219_Gbi_Lko.aln	0.029	0.0592	2.0435
OGs_OG0002463_Gbi_Lko.aln	0.0511	0.0808	1.5813
OGs_OG0001293_Gbi_Lko.aln	0.0138	0.0754	5.4719
OGs_OG0006175_Gbi_Lko.aln	0.0538	0.1427	2.6543
OGs_OG0013392_Gbi_Lko.aln	0.0625	0.2275	3.6404
OGs_OG0013513_Gbi_Lko.aln	0.1805	0.4017	2.2263
OGs_OG0002212_Gbi_Lko.aln	0.0797	0.257	3.2243
OGs_OG0002187_Gbi_Lko.aln	0.01	0.0402	4.0336
OGs_OG0005280_Gbi_Lko.aln	0.0578	0.2468	4.2685
OGs_OG0007127_Gbi_Lko.aln	0.1188	0.3985	3.3529
OGs_OG0002321_Gbi_Lko.aln	0.0598	0.1172	1.9585
OGs_OG0005765_Gbi_Lko.aln	0.0912	0.2826	3.0973
OGs_OG0001497_Gbi_Lko.aln	0.0726	0.1164	1.6039
OGs_OG0013654_Gbi_Lko.aln	0.1228	0.2851	2.3222
OGs_OG0006468_Gbi_Lko.aln	0.0681	0.3111	4.5665
OGs_OG0005168_Gbi_Lko.aln	0.0135	0.0259	1.9175
OGs_OG0004646_Gbi_Lko.aln	0.0726	0.2848	3.9214
OGs_OG0008152_Gbi_Lko.aln	0.1167	0.3819	3.2732
OGs_OG0002646_Gbi_Lko.aln	0.4386	0.0672	0.1533
OGs_OG0004750_Gbi_Lko.aln	0.0197	0.0897	4.5547
OGs_OG0004736_Gbi_Lko.aln	0.0462	0.1014	2.196
OGs_OG0003936_Gbi_Lko.aln	0.0966	0.3918	4.0561
OGs_OG0004627_Gbi_Lko.aln	0.0452	0.0779	1.7226
OGs_OG0009210_Gbi_Lko.aln	0.0448	0.1896	4.2309
OGs_OG0005085_Gbi_Lko.aln	0.0506	0.215	4.25
OGs_OG0001074_Gbi_Lko.aln	0.0612	0.2114	3.4548
OGs_OG0011544_Gbi_Lko.aln	0.0557	0.0921	1.6527
OGs_OG0002469_Gbi_Lko.aln	0.0402	0.2055	5.1162
OGs_OG0005370_Gbi_Lko.aln	0.0266	0.1121	4.2143
OGs_OG0001560_Gbi_Lko.aln	0.0432	0.0982	2.2721
OGs_OG0001077_Gbi_Lko.aln	0.0277	0.0622	2.2447
OGs_OG0005643_Gbi_Lko.aln	0.0604	0.2472	4.0933
OGs_OG0002010_Gbi_Lko.aln	0.043	0.1981	4.6042
OGs_OG0000839_Gbi_Lko.aln	0.0495	0.234	4.7294
OGs_OG0013542_Gbi_Lko.aln	0.125	0.2564	2.0507
OGs_OG0007909_Gbi_Lko.aln	0.0638	0.2604	4.0805
OGs_OG0004513_Gbi_Lko.aln	0.1011	0.2946	2.9141
OGs_OG0001414_Gbi_Lko.aln	0.2317	0.2955	1.2753
OGs_OG0001420_Gbi_Lko.aln	0.0755	0.1477	1.9554
OGs_OG0013594_Gbi_Lko.aln	0.0611	0.1568	2.5651
OGs_OG0004212_Gbi_Lko.aln	0.063	0.3046	4.832
OGs_OG0005002_Gbi_Lko.aln	0.1536	0.1739	1.1319
OGs_OG0004980_Gbi_Lko.aln	0.0907	0.1898	2.0922
OGs_OG0004872_Gbi_Lko.aln	0.0452	0.2037	4.5107
OGs_OG0001619_Gbi_Lko.aln	0.0078	0.0323	4.14
OGs_OG0003810_Gbi_Lko.aln	0.0363	0.1782	4.9112
OGs_OG0003819_Gbi_Lko.aln	0.0255	0.1055	4.1335
OGs_OG0006192_Gbi_Lko.aln	0.0881	0.2047	2.3233
OGs_OG0003001_Gbi_Lko.aln	0.0724	0.3243	4.4809
OGs_OG0004405_Gbi_Lko.aln	0.023	0.04	1.7425
OGs_OG0005632_Gbi_Lko.aln	0.0754	0.2643	3.5075
OGs_OG0004858_Gbi_Lko.aln	0.0102	0.0374	3.6517
OGs_OG0001864_Gbi_Lko.aln	0.0453	0.174	3.845
OGs_OG0004976_Gbi_Lko.aln	0.0517	0.2467	4.7716
OGs_OG0005859_Gbi_Lko.aln	0.0681	0.2569	3.7754
OGs_OG0004785_Gbi_Lko.aln	0.0566	0.2109	3.728
OGs_OG0007800_Gbi_Lko.aln	0.1107	0.2079	1.8786
OGs_OG0002606_Gbi_Lko.aln	0.2776	1.141	4.1103
OGs_OG0004557_Gbi_Lko.aln	0.1182	0.4196	3.5487
OGs_OG0007581_Gbi_Lko.aln	0.0315	0.1244	3.9491
OGs_OG0002303_Gbi_Lko.aln	0.011	0.0527	4.8006
OGs_OG0009657_Gbi_Lko.aln	0.1641	0.2801	1.7067
OGs_OG0004216_Gbi_Lko.aln	0.011	0.0356	3.2254
OGs_OG0007819_Gbi_Lko.aln	0.0845	0.1233	1.4583
OGs_OG0013439_Gbi_Lko.aln	0.1536	0.2248	1.4633
OGs_OG0006107_Gbi_Lko.aln	0.0088	0.0365	4.1279
OGs_OG0005446_Gbi_Lko.aln	0.0281	0.1359	4.8334
OGs_OG0005772_Gbi_Lko.aln	0.0884	0.1767	1.9979
OGs_OG0005933_Gbi_Lko.aln	0.0018	0.0076	4.2082
OGs_OG0003809_Gbi_Lko.aln	0.041	0.1828	4.4634
OGs_OG0013659_Gbi_Lko.aln	0.189	0.3555	1.881
OGs_OG0004959_Gbi_Lko.aln	0.0169	0.0266	1.5729
OGs_OG0006303_Gbi_Lko.aln	0.1322	0.2233	1.6892
OGs_OG0006545_Gbi_Lko.aln	0.0685	0.1932	2.8224
OGs_OG0005527_Gbi_Lko.aln	0.0507	0.1988	3.9229
OGs_OG0007741_Gbi_Lko.aln	0.0179	0.0664	3.7116
OGs_OG0005377_Gbi_Lko.aln	0.0575	0.2487	4.327
OGs_OG0003384_Gbi_Lko.aln	0.0903	0.1195	1.3233
OGs_OG0001780_Gbi_Lko.aln	0.0331	0.1561	4.7219
OGs_OG0003940_Gbi_Lko.aln	0.2937	0.5557	1.8918
OGs_OG0007692_Gbi_Lko.aln	0.0703	0.2859	4.0672
OGs_OG0005945_Gbi_Lko.aln	0.0965	0.2959	3.0646
OGs_OG0003931_Gbi_Lko.aln	0.0056	0.0147	2.6504
OGs_OG0004617_Gbi_Lko.aln	0.0623	0.1173	1.882
OGs_OG0005960_Gbi_Lko.aln	0.0827	0.2937	3.5532
OGs_OG0006856_Gbi_Lko.aln	0.0272	0.0448	1.6463
OGs_OG0002194_Gbi_Lko.aln	0.0178	0.0641	3.6005
OGs_OG0003258_Gbi_Lko.aln	0.0685	0.0658	0.9612
OGs_OG0003565_Gbi_Lko.aln	0.0251	0.0897	3.5712
OGs_OG0006579_Gbi_Lko.aln	0.0847	0.3049	3.5984
OGs_OG0002994_Gbi_Lko.aln	0.0263	0.1017	3.8705
OGs_OG0000688_Gbi_Lko.aln	0.1266	0.2287	1.8061
OGs_OG0004458_Gbi_Lko.aln	0.0109	0.0399	3.6656
OGs_OG0003524_Gbi_Lko.aln	0.0432	0.1705	3.9501
OGs_OG0006348_Gbi_Lko.aln	0.0555	0.1082	1.951
OGs_OG0003284_Gbi_Lko.aln	0.0298	0.1186	3.9849
OGs_OG0005362_Gbi_Lko.aln	0.0789	0.2769	3.5077
OGs_OG0003223_Gbi_Lko.aln	0.0814	0.3801	4.6699
OGs_OG0000974_Gbi_Lko.aln	0.0224	0.1104	4.9325
OGs_OG0006474_Gbi_Lko.aln	0.0446	0.1214	2.7195
OGs_OG0004008_Gbi_Lko.aln	0.0128	0.0336	2.6299
OGs_OG0008644_Gbi_Lko.aln	0.0445	0.146	3.2802
OGs_OG0005062_Gbi_Lko.aln	0.0164	0.0612	3.7406
OGs_OG0002160_Gbi_Lko.aln	0.102	0.3307	3.2437
OGs_OG0006297_Gbi_Lko.aln	0.0292	0.0486	1.6631
OGs_OG0001605_Gbi_Lko.aln	0.0384	0.1992	5.189
OGs_OG0005733_Gbi_Lko.aln	0.0433	0.1654	3.8205
OGs_OG0007986_Gbi_Lko.aln	0.1017	0.4141	4.0717
OGs_OG0004888_Gbi_Lko.aln	0.0485	0.115	2.37
OGs_OG0005879_Gbi_Lko.aln	0.1105	0.1637	1.4816
OGs_OG0005094_Gbi_Lko.aln	0.0522	0.1977	3.7861
OGs_OG0001811_Gbi_Lko.aln	0.0083	0.0107	1.2872
OGs_OG0001582_Gbi_Lko.aln	0.0059	0.0244	4.1568
OGs_OG0001388_Gbi_Lko.aln	0.1187	0.253	2.1307
OGs_OG0006787_Gbi_Lko.aln	0.0789	0.3109	3.9406
OGs_OG0007912_Gbi_Lko.aln	0.0518	0.1619	3.1274
OGs_OG0003528_Gbi_Lko.aln	0.0395	0.0709	1.7967
OGs_OG0008377_Gbi_Lko.aln	0.0311	0.0657	2.1126
OGs_OG0006463_Gbi_Lko.aln	0.0835	0.1479	1.7718
OGs_OG0007770_Gbi_Lko.aln	0.0403	0.208	5.1653
OGs_OG0003898_Gbi_Lko.aln	0.062	0.1079	1.741
OGs_OG0001636_Gbi_Lko.aln	0.0843	0.3438	4.0789
OGs_OG0007272_Gbi_Lko.aln	0.0471	0.1718	3.6474
OGs_OG0004266_Gbi_Lko.aln	0.0507	0.0556	1.0965
OGs_OG0001755_Gbi_Lko.aln	0.0939	0.3842	4.0918
OGs_OG0003205_Gbi_Lko.aln	0.196	0.0912	0.4652
OGs_OG0010572_Gbi_Lko.aln	0.1069	0.2909	2.7217
OGs_OG0000629_Gbi_Lko.aln	0.1603	0.6197	3.8667
OGs_OG0002396_Gbi_Lko.aln	0.0111	0.0529	4.7766
OGs_OG0013558_Gbi_Lko.aln	0.2657	0.5199	1.9565
OGs_OG0003100_Gbi_Lko.aln	0.1007	0.21	2.0855
OGs_OG0004276_Gbi_Lko.aln	0.0269	0.1298	4.818
OGs_OG0009375_Gbi_Lko.aln	0.0806	0.2946	3.6555
OGs_OG0004702_Gbi_Lko.aln	0.0798	0.3456	4.3333
OGs_OG0010710_Gbi_Lko.aln	0.0543	0.0882	1.6254
OGs_OG0004790_Gbi_Lko.aln	0.0328	0.1473	4.4888
OGs_OG0007244_Gbi_Lko.aln	0.0061	0.0208	3.4259
OGs_OG0003246_Gbi_Lko.aln	0.0479	0.1107	2.3139
OGs_OG0013317_Gbi_Lko.aln	0.0029	0.2867	99.0
OGs_OG0008155_Gbi_Lko.aln	0.4876	0.6119	1.2549
OGs_OG0013626_Gbi_Lko.aln	0.1642	0.3477	2.1177
OGs_OG0004308_Gbi_Lko.aln	0.0331	0.1334	4.0266
OGs_OG0004010_Gbi_Lko.aln	0.0114	0.0496	4.3602
OGs_OG0007553_Gbi_Lko.aln	0.0646	0.2333	3.613
OGs_OG0000966_Gbi_Lko.aln	0.1255	0.1484	1.1823
OGs_OG0003419_Gbi_Lko.aln	0.0261	0.1252	4.8025
OGs_OG0001186_Gbi_Lko.aln	0.1292	0.6183	4.7842
OGs_OG0007612_Gbi_Lko.aln	0.2217	0.6414	2.8928
OGs_OG0004478_Gbi_Lko.aln	0.0187	0.088	4.7139
OGs_OG0006526_Gbi_Lko.aln	0.014	0.0521	3.7176
OGs_OG0006503_Gbi_Lko.aln	0.118	0.2264	1.9184
OGs_OG0003812_Gbi_Lko.aln	0.0112	0.0422	3.7672
OGs_OG0005596_Gbi_Lko.aln	0.0187	0.0677	3.6218
OGs_OG0005382_Gbi_Lko.aln	0.0103	0.04	3.8679
OGs_OG0005962_Gbi_Lko.aln	0.2064	0.3989	1.9324
OGs_OG0003119_Gbi_Lko.aln	0.0478	0.1123	2.3504
OGs_OG0003482_Gbi_Lko.aln	0.0369	0.1435	3.8925
OGs_OG0013528_Gbi_Lko.aln	0.1276	0.399	3.1281
OGs_OG0008023_Gbi_Lko.aln	0.0288	0.0333	1.1572
OGs_OG0010706_Gbi_Lko.aln	0.098	0.3869	3.9492
OGs_OG0006119_Gbi_Lko.aln	0.0154	0.0343	2.222
OGs_OG0005246_Gbi_Lko.aln	0.0439	0.1048	2.3865
OGs_OG0005833_Gbi_Lko.aln	0.004	0.0101	2.5386
OGs_OG0004277_Gbi_Lko.aln	0.0365	0.125	3.4272
OGs_OG0001928_Gbi_Lko.aln	0.0452	0.1935	4.2814
